LAMMPS data file via write_data, version 29 Oct 2020, timestep = 0

72 atoms
1 9 17 1 2 3
2 84 17 1 2 12
3 26 12 2 3 5
4 57 18 2 1 17
5 62 12 2 3 4
6 64 18 2 12 13
7 65 18 2 12 11
8 78 18 2 3 5
9 87 18 2 3 4
10 1 4 3 2 1
11 19 19 3 5 6
12 36 19 3 2 1
13 41 19 3 5 9
14 75 5 3 2 1
15 77 19 3 2 12
16 81 19 3 2 18
17 10 20 4 3 2
18 53 20 4 3 5
19 83 20 4 3 19
20 2 6 5 3 2
21 18 21 5 3 4
22 23 21 5 3 2
23 27 6 5 3 4
24 30 9 5 3 4
25 32 21 5 9 10
26 49 9 5 3 2
27 51 21 5 6 7
28 59 21 5 9 11
29 61 9 5 6 7
30 86 21 5 3 19
31 3 7 6 5 3
32 4 8 7 6 5
33 45 22 7 6 5
34 63 23 7 6 5
35 11 24 8 7 6
36 16 25 8 7 22
37 22 24 8 7 22
38 31 25 8 7 6
39 38 25 8 7 23
40 39 26 8 7 22
41 69 24 8 7 23
42 71 26 8 7 6
43 74 26 8 7 23
44 5 10 9 5 3
45 14 11 9 5 3
46 33 27 9 5 21
47 44 10 9 5 6
48 58 27 9 11 12
49 73 27 9 5 3
50 80 11 9 5 6
51 85 27 9 5 6
52 12 28 10 9 5
53 60 28 10 9 27
54 89 28 10 9 11
55 24 12 11 9 5
56 25 9 11 12 2
57 68 12 11 9 10
58 15 29 12 13 14
59 21 29 12 11 9
60 29 29 12 2 3
61 34 29 12 2 1
62 37 13 12 2 3
63 43 13 12 11 9
64 67 29 12 2 18
65 70 11 12 2 3
66 72 13 12 2 1
67 88 11 12 2 1
68 6 14 13 12 2
69 28 31 13 12 2
70 42 31 13 14 15
71 46 31 13 12 29
72 50 30 13 14 15
73 52 14 13 12 11
74 56 31 13 12 11
75 76 30 13 12 11
76 82 30 13 12 2
77 90 30 13 12 29
78 7 15 14 13 12
79 8 16 15 14 13
80 35 32 15 14 13
81 79 33 15 14 13
82 13 34 16 15 14
83 17 36 16 15 14
84 20 36 16 15 33
85 40 35 16 15 14
86 47 35 16 15 33
87 48 36 16 15 32
88 54 35 16 15 32
89 55 34 16 15 33
90 66 34 16 15 32
91 9 53 37 38 39
92 84 53 37 38 48
93 26 48 38 39 41
94 57 54 38 37 53
95 62 48 38 39 40
96 64 54 38 48 49
97 65 54 38 48 47
98 78 54 38 39 41
99 87 54 38 39 40
100 1 40 39 38 37
101 19 55 39 41 42
102 36 55 39 38 37
103 41 55 39 41 45
104 75 41 39 38 37
105 77 55 39 38 48
106 81 55 39 38 54
107 10 56 40 39 38
108 53 56 40 39 41
109 83 56 40 39 55
110 2 42 41 39 38
111 18 57 41 39 40
112 23 57 41 39 38
113 27 42 41 39 40
114 30 45 41 39 40
115 32 57 41 45 46
116 49 45 41 39 38
117 51 57 41 42 43
118 59 57 41 45 47
119 61 45 41 42 43
120 86 57 41 39 55
121 3 43 42 41 39
122 4 44 43 42 41
123 45 58 43 42 41
124 63 59 43 42 41
125 11 60 44 43 42
126 16 61 44 43 58
127 22 60 44 43 58
128 31 61 44 43 42
